"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SS2. Strides, 6-8 Count Steps 45min RPE","Run","Advanced Strides. (This is best outdoors but may be done on a treadmill.) Warm up with easy running for 15-20 minutes. On grass or other soft surface, run fast for 6-8 times for 30 steps each time counting only left- (or right-) foot steps. Goal = 19-20 seconds for 30 steps. That means you're running at around 90 rpm. Focus on one aspect of your form (such as foot placement or good posture) on each stride. During the recoveries skip 60 times—30 skips each leg alternating. (See The Triathlete's Training Bible for details on skipping.) Also include walking in recoveries. Cool down in zone 1 to finish off the planned duration for this workout.","0.75","","2026-03-20","Strides may be done barefoot, but be sure to check the course for sharp objects and dog droppings. Don't run barefoot if there are open wounds on your feet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-03-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. Continuous Swim 70min","Swim","(You may substitute a masters swim workout.) WU: 20 minutes alternating slow-fast pacing. Play with different strokes while warming up. MS: 40-minute steady swim. Swim without stopping. CD: 10 minutes very easy. Choice of strokes or floating on your back, drills, and/or easy swimming. Total: 70 minutes","1.16666666666667","","2026-03-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 2h (1.25h) HR","Run","Warm up well. Then on a mostly flat course, run 75 minutes at 30 bpm below your 5a zone (LTHR) +/- 2 bpm. Focus on good form with a high cadence (85+ rpm) and flat foot strike.","2","","2026-03-21","1.5 hours if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 30min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.5","","2026-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. AeT Steady State 3h (2.5h) HR+Power","Bike","AeT Steady State. Warm up about 20 minutes. Then ride 2.5 hours steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (LTHR). Observe power at this effort if you have a power meter. What was your normalized power (NP) for the steady state portion? Divide NP by average HR for the hour to find your efficiency factor (EF). Over time, as you repeat this workout, your EF should rise. Easy cool down.","3","","2026-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SM, 2 sets","Strength","Strength: Warm up 5-10 minutes. Then do 2 sets of Strength Maintenance (SM) weight lifting. First set is light (12 reps with 15RM load). Second set is heavy (3-6 reps with 6RM load). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. This should be a very brief workout. For details on strength training turn to Chapter 13 in The Triathlete's Training Bible","0.5","","2026-03-23","At the end of this week you will be ready to start the 12-week Build-Peak-Race Period plan to get ready for your first A-priority race of the season in about 12 weeks. Go to https://www.trainingpeaks.com/training-plans/triathlon/half-ironman/tp-138557/half-distance-triathlon-build-peak-plan-under-50-16hpw-bike-power-meter-11-weeks for the follow-up plan.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 30min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.5","","2026-03-24","This should be a very easy (low TSS) day. Be ready for weekend testing.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Drills, 6x50/PDLC 20min","Swim","OPTIONAL workout. Warm-up + drills for your technique limiter. Then do 6x50 fast form (on 90 seconds). Long, easy cool down. FORM! OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.333333333333333","","2026-03-26","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-03-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3. Half-Ironman Test set 2400y","Swim","Warm-up: 200 building speed on each 50 (slow-mod-faster-fastest). Rest 30 sec. Then 4 x 400 (10 sec recoveries) building speed on each 100 (slow-mod-faster-fastest). Recover 10 seconds after last one. Then swim a 500 time trial all-out. Your average 100 pace for this is your T-time for future workouts. Then swim easy, 100 cool down. (2400m/y)","0.634722222222222","2194.56005859375","2026-03-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2. Functional Threshold Test 1h (20min) HR+Pace","Run","The purpose of this test is to determine your Functional Threshold Pace (FTPa) and Functional Threshold Heart Rate (FTHR) for running in order to set your training zones. Following a few days of active rest and recovery you should be ready for a hard, racelike effort. (If not feeling ready for this test then omit it and instead do what will help you be ready for testing tomorrow.) For this test a road course should be relatively flat or you may do it on a track (preferred). Use the same course every time in the future you do this test. (Unfortunately, most treadmills can’t be calibrated closely enough for the pacing accuracy required of this test, but they may be used for FTHR measurement.) Warm up for this test for at least 15 minutes. Then start the test as if you are in a race that lasts 20 minutes. (You may also substitute a 5km race for this test if your time is likely to be 18 to 22 minutes.) Hold back slightly in the first 5 minutes (most athletes start much too fast). Every 5 minutes decide whether you should go slightly faster or slower for the next 5 minutes. Afterwards cool down with easy jogging and walking. Following the workout find your average heart rate for the 20-minute test. Subtract 5 percent and you have an estimate of your run FTHR. Then use Table 4.1 (The Triathlete’s Training Bible, 5th edition) to compute your heart rate training zones. If using a GPS device on a road course, to determine FT Pace add 5 percent to your Normalized Graded Pace. If the test was done on a track use the track’s measurement of distance covered to determine pace and also add 5 percent for an estimate of FT Pace. Table 4.1 (Training Bible, 5th edition) may then be used to set your pace training zones.","1","","2026-03-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2. FTP Testing 1h Power","Bike","Warm up for 20 minutes with gradually increasing intensity intervals as you feel like it. Then do a 5-minute, all-out effort on a flat to slightly uphill course. Recover for 5 minutes in zone 1. Now do a 20-minute, race-like time trial effort on a course with light traffic, few intersections, and no stoplights. It should be mostly flat or slightly uphill (2-3% grade). Maintain the highest speed/power possible for the entire 20 minutes. Finish with a short cool down spin in power zone 1. Your 5-minute average power is an indication of your VO2max power. Record your average heart rate and normalized power (NP) for the 20-minute TT. Multiply your 20-minute NP (and average HR) by 0.95 to determine your FTP (and FTHR). Zones may be set up for the bike (heart rate and/or power) by using these final numbers. For a more detailed explanation of how to set zones go to Chapter 4 in The Triathlete’s Training Bible, 5th edition. This test may also be done on an indoor trainer, but the numbers are likely to be lower than what you’d get on the road.","1.5","","2026-03-29","For the 20-minute test, decide at the end of every 5 minutes if you will increase, keep the same, or decrease power for the next 5 minutes. Warning: Most athletes start much too fast.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
